Time_s,MSD_lattice_units2
1.0034494810599423e-08,2.0
1.0980358686952872e-08,6.0
1.1792688800170715e-08,8.0
1.2658001248986258e-08,6.0
1.4633656085211672e-08,8.0
1.4873367977672825e-08,18.0
1.5433529316444577e-08,14.0
1.986334848235671e-08,22.0
2.0361877423631843e-08,22.0
2.0766087116647703e-08,22.0
2.20031609981807e-08,36.0
2.2711977318564613e-08,26.0
2.366016861573568e-08,26.0
2.3910561429389043e-08,18.0
2.632961051745387e-08,14.0
3.113094072009256e-08,6.0
3.899123663937618e-08,8.0
3.979111647393271e-08,10.0
3.9967410855076625e-08,10.0
4.3398309359606076e-08,18.0
4.439401283031802e-08,20.0
4.470610061340812e-08,18.0
4.656799813282374e-08,14.0
4.6975048160545147e-08,8.0
4.7107875931570035e-08,14.0
4.903820873442886e-08,14.0
4.908589076888437e-08,12.0
5.4724440322915114e-08,14.0
5.519542822139651e-08,14.0
5.840740134305905e-08,20.0
6.274060164569203e-08,10.0
6.524629142963984e-08,18.0
6.765197584155784e-08,14.0
6.802366535413405e-08,12.0
6.968416446143604e-08,14.0
7.004325689816221e-08,18.0
7.157352008199993e-08,26.0
7.918096136983423e-08,40.0
7.980360341672635e-08,38.0
8.49235144612893e-08,50.0
8.56464024191496e-08,50.0
8.767866596223909e-08,38.0
8.781980767591641e-08,44.0
8.941800782633466e-08,46.0
9.112163030968779e-08,52.0
9.307311997897556e-08,58.0
9.869196551522046e-08,54.0
1.0138041442533405e-07,54.0
1.0205596740740559e-07,66.0
1.039728958285411e-07,68.0
1.0855578791716847e-07,86.0
1.1125406654720724e-07,104.0
1.1192232460360525e-07,86.0
1.1730079174665354e-07,108.0
1.2200003839256466e-07,86.0
1.237079348268714e-07,110.0
1.2468503266875296e-07,98.0
1.2491287291710747e-07,110.0
1.2910534056867588e-07,126.0
1.30287539274848e-07,108.0
1.350873883195274e-07,134.0
1.3693804942555036e-07,146.0
1.3753140075952866e-07,150.0
1.3786109026115275e-07,146.0
1.3957363719480017e-07,118.0
1.4294803628530986e-07,146.0
1.522331060750725e-07,162.0
1.5229476257507326e-07,178.0
1.532017669605445e-07,194.0
1.555653229386479e-07,194.0
1.5566065481779837e-07,194.0
1.6003353120000265e-07,182.0
1.6365044350933063e-07,162.0
1.6445195907604496e-07,134.0
1.6567916581681174e-07,164.0
1.6836570193397295e-07,146.0
1.6901940988460938e-07,146.0
1.6922728088753657e-07,178.0
1.6963970744519932e-07,196.0
1.7113854035813882e-07,178.0
1.7173251346934112e-07,194.0
1.7412832952526986e-07,230.0
1.8168578082943176e-07,248.0
1.8312803004703015e-07,270.0
1.8492942683818983e-07,268.0
1.889362568519208e-07,286.0
1.919975880998748e-07,286.0
1.9727980882451028e-07,328.0
2.0052904107611208e-07,310.0
2.0057003598078305e-07,354.0
2.0117559102842002e-07,356.0
2.0160670607182128e-07,354.0
2.0826126625457787e-07,338.0
2.1019119298356382e-07,326.0
2.1092305889481446e-07,374.0
2.1285577074068928e-07,392.0
2.131058439951453e-07,342.0
2.1420176930021054e-07,392.0
2.1583605967153508e-07,342.0
2.22426044089435e-07,332.0
2.239830605577343e-07,294.0
2.248625196427019e-07,286.0
2.2552946058357585e-07,250.0
2.256980633382442e-07,244.0
2.2744761458354036e-07,286.0
2.2772659403109195e-07,296.0
2.3036293577246897e-07,254.0
2.3124590708292422e-07,254.0
2.3419315297595259e-07,296.0
2.344319949493988e-07,286.0
2.3747023912713662e-07,296.0
2.388383369446664e-07,302.0
2.4058579265899936e-07,312.0
2.416961203697855e-07,286.0
2.435531867436531e-07,254.0
2.4537937597630627e-07,278.0
2.454721478060945e-07,260.0
2.4638312481608386e-07,258.0
2.47513198931458e-07,304.0
2.4792364796429397e-07,354.0
2.510751566779085e-07,374.0
2.516316577087156e-07,322.0
2.566235918945207e-07,306.0
2.6243134542482695e-07,326.0
